"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-3000157","Laminin interactions","10/743","30/10616",2.20119141553591e-05,0.00175780857326368,0.00160207014303666,"COL4A6/LAMC1/NID2/COL4A2/LAMC2/COL7A1/NID1/COL4A5/COL4A1/ITGB1",10
"R-HSA-8874081","MET activates PTK2 signaling","10/743","30/10616",2.20119141553591e-05,0.00175780857326368,0.00160207014303666,"LAMC1/COL5A2/FN1/COL2A1/MET/LAMC2/COL1A2/COL11A1/ITGB1/COL5A1",10
"R-HSA-1793185","Chondroitin sulfate/dermatan sulfate metabolism","13/743","50/10616",2.73576943435129e-05,0.00194764091029165,0.00177508370319397,"DSEL/CSPG5/GPC3/GPC4/NCAN/CSGALNACT1/DSE/CHST9/BGN/GPC1/XYLT1/SDC1/SDC2",13
"R-HSA-3560783","Defective B4GALT7 causes EDS, progeroid type","8/743","20/10616",3.27623182831719e-05,0.00194764091029165,0.00177508370319397,"CSPG5/GPC3/GPC4/NCAN/BGN/GPC1/SDC1/SDC2",8
"R-HSA-3560801","Defective B3GAT3 causes JDSSDHD","8/743","20/10616",3.27623182831719e-05,0.00194764091029165,0.00177508370319397,"CSPG5/GPC3/GPC4/NCAN/BGN/GPC1/SDC1/SDC2",8
"R-HSA-4420332","Defective B3GALT6 causes EDSP2 and SEMDJL1","8/743","20/10616",3.27623182831719e-05,0.00194764091029165,0.00177508370319397,"CSPG5/GPC3/GPC4/NCAN/BGN/GPC1/SDC1/SDC2",8
"R-HSA-8948216","Collagen chain trimerization","12/743","44/10616",3.30994430192677e-05,0.00194764091029165,0.00177508370319397,"COL4A6/COL5A2/COL4A2/COL2A1/COL26A1/COL8A1/COL1A2/COL7A1/COL11A1/COL4A5/COL4A1/COL5A1",12
"R-HSA-1971475","A tetrasaccharide linker sequence is required for GAG synthesis","9/743","26/10616",4.05576619832279e-05,0.00226717330486244,0.00206630614735603,"CSPG5/GPC3/GPC4/NCAN/BGN/GPC1/XYLT1/SDC1/SDC2",9
"R-HSA-3781865","Diseases of glycosylation","24/743","143/10616",5.05921321864256e-05,0.00269342875163923,0.00245479618829373,"LUM/GALNT12/THSD4/PAPSS2/CSPG5/GPC3/SEMA5A/GPC4/NCAN/ADAMTS9/ADAMTS19/ADAMTS18/PGM1/NOTCH2/SEMA5B/BGN/GPC1/B3GLCT/GALNT3/SRD5A3/SDC1/SDC2/MUC15/EXT1",24
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","14/743","61/10616",6.13019552241509e-05,0.00311525390639094,0.00283924845248699,"COL4A6/COL5A2/COL4A2/COL2A1/TLL2/LAMC2/COL8A1/COL1A2/COL7A1/COL11A1/LOXL2/COL4A5/COL4A1/COL5A1",14
"R-HSA-3560782","Diseases associated with glycosaminoglycan metabolism","11/743","41/10616",8.29379697969229e-05,0.00386352709303999,0.00352122608611497,"LUM/PAPSS2/CSPG5/GPC3/GPC4/NCAN/BGN/GPC1/SDC1/SDC2/EXT1",11
"R-HSA-8875878","MET promotes cell motility","11/743","41/10616",8.29379697969229e-05,0.00386352709303999,0.00352122608611497,"LAMC1/COL5A2/FN1/COL2A1/MET/LAMC2/COL1A2/TNS3/COL11A1/ITGB1/COL5A1",11
"R-HSA-2243919","Crosslinking of collagen fibrils","7/743","18/10616",0.000128481461738675,0.00553436411455008,0.00504403018819742,"COL4A6/COL4A2/TLL2/COL1A2/LOXL2/COL4A5/COL4A1",7
"R-HSA-1630316","Glycosaminoglycan metabolism","21/743","124/10616",0.000128706142198839,0.00553436411455008,0.00504403018819742,"LUM/DSEL/PAPSS2/HS3ST1/CSPG5/GPC3/GPC4/NCAN/HMMR/HS3ST4/CSGALNACT1/DSE/CHST1/CHST9/BGN/GPC1/XYLT1/SDC1/SDC2/B4GALT6/EXT1",21
"R-HSA-8941326","RUNX2 regulates bone development","9/743","31/10616",0.000190515620073183,0.0076617621856927,0.00698294491643963,"HEY1/HEY2/GLI3/SMAD6/SMAD1/HDAC6/HES1/MAF/CBFB",9
"R-HSA-1566948","Elastic fibre formation","11/743","45/10616",0.000205960734134536,0.0076617621856927,0.00698294491643963,"FBN2/EFEMP2/MFAP5/FBN1/FN1/ITGB5/TGFB2/TGFB1/ITGB8/LOXL2/ITGB1",11
"R-HSA-2129379","Molecules associated with elastic fibres","10/743","38/10616",0.000207493989762448,0.0076617621856927,0.00698294491643963,"FBN2/EFEMP2/MFAP5/FBN1/FN1/ITGB5/TGFB2/TGFB1/ITGB8/ITGB1",10
"R-HSA-3656237","Defective EXT2 causes exostoses 2","6/743","14/10616",0.000212445999782177,0.0076617621856927,0.00698294491643963,"GPC3/GPC4/GPC1/SDC1/SDC2/EXT1",6
"R-HSA-3656253","Defective EXT1 causes exostoses 1, TRPS2 and CHDS","6/743","14/10616",0.000212445999782177,0.0076617621856927,0.00698294491643963,"GPC3/GPC4/GPC1/SDC1/SDC2/EXT1",6
"R-HSA-388844","Receptor-type tyrosine-protein phosphatases","7/743","20/10616",0.000276537964954637,0.00966154515060264,0.00880555098934502,"PPFIA4/SLITRK1/PTPRD/PPFIA2/PPFIBP2/SLITRK6/SLITRK4",7
"R-HSA-1638091","Heparan sulfate/heparin (HS-GAG) metabolism","12/743","55/10616",0.000337689771222438,0.0114405201280814,0.0104269122342367,"HS3ST1/CSPG5/GPC3/GPC4/NCAN/HS3ST4/BGN/GPC1/XYLT1/SDC1/SDC2/EXT1",12
"R-HSA-418597","G alpha (z) signalling events","11/743","48/10616",0.000378089261647633,0.0124324645447663,0.0113309722995328,"RGS4/PRKCB/GNG3/ADCY2/ADCY6/GNG12/PRKCA/PRKCQ/GNAS/PRKCH/RGS16",11
"R-HSA-6794361","Neurexins and neuroligins","12/743","56/10616",0.000402912735223551,0.0126478194850638,0.0115272472098124,"EPB41L1/LRRTM4/NRXN1/NRXN3/SHANK2/SYT12/NRXN2/STXBP1/HOMER2/BEGAIN/LIN7B/SIPA1L1",12
"R-HSA-1442490","Collagen degradation","13/743","64/10616",0.000407264312578084,0.0126478194850638,0.0115272472098124,"COL4A6/COL5A2/COL4A2/COL2A1/COL26A1/COL8A1/COL1A2/COL7A1/COL11A1/CTSK/COL4A5/COL4A1/COL5A1",13
"R-HSA-2022923","Dermatan sulfate biosynthesis","5/743","11/10616",0.000536336725741387,0.0162060664696992,0.0147702404130203,"DSEL/CSPG5/NCAN/DSE/BGN",5
"R-HSA-5683057","MAPK family signaling cascades","36/743","294/10616",0.000696297182985318,0.0204857960678312,0.0186707942695232,"FGFR2/DUSP6/FGF8/TEK/KITLG/IL17RD/ETV4/JUN/SPRED2/RASGRP1/ERBB4/FN1/LRRC7/DUSP10/SHC2/MET/NEFL/NF1/JAK1/IRS1/LAMTOR3/CDC42/KIT/TGFA/AGO3/GFRA1/SHC3/SEPTIN7/PDGFA/XPO1/ERBB3/BTC/PDGFRA/DUSP1/IL6ST/RAPGEF2",36
"R-HSA-416993","Trafficking of GluR2-containing AMPA receptors","6/743","17/10616",0.000729897847884581,0.0209237383060247,0.0190699356748252,"PRKCB/TSPAN7/PRKCA/GRIA2/GRIA3/GRIA1",6
"R-HSA-8940973","RUNX2 regulates osteoblast differentiation","7/743","24/10616",0.00096478122186888,0.0269656351512352,0.0245765321781336,"HEY1/HEY2/GLI3/HDAC6/HES1/MAF/CBFB",7
"R-HSA-2022928","HS-GAG biosynthesis","8/743","31/10616",0.00102986193339867,0.0280825766229198,0.0255945148017949,"HS3ST1/GPC3/GPC4/HS3ST4/GPC1/SDC1/SDC2/EXT1",8
"R-HSA-8986944","Transcriptional Regulation by MECP2","12/743","62/10616",0.0010588393792597,0.0281852958574368,0.0256881333113632,"RBFOX1/SST/GAD1/CRH/SLC2A3/SGK1/PTEN/MET/GRIA2/FKBP5/AGO3/BDNF",12
"R-HSA-9013508","NOTCH3 Intracellular Domain Regulates Transcription","7/743","25/10616",0.00126007407070934,0.0327321290344786,0.0298321258877462,"HEY1/HEY2/MAML2/KAT2B/HEYL/FABP7/HES1",7
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","17/743","108/10616",0.00128820543606177,0.0327321290344786,0.0298321258877462,"RHOU/VEGFA/CCND1/ANXA1/VCAM1/TWIST1/CEBPD/FN1/TGFB1/JAK1/CDKN1A/COL1A2/NANOG/NOS2/FSCN1/ZEB1/ITGB1",17
"R-HSA-112315","Transmission across Chemical Synapses","33/743","272/10616",0.00133938997355944,0.0332763997875435,0.030328175307732,"PPFIA4/PRKCB/CHRNA3/SLC32A1/SLC1A3/SLC6A1/EPB41L1/ERBB4/GAD1/SLC1A1/GRIK3/GNG3/LRRC7/ADCY2/ADCY6/MAPT/TSPAN7/STXBP1/NCALD/GNG12/TUBB3/SNAP25/NEFL/PRKCA/GRIA2/PPFIA2/ARHGEF7/SLC38A1/GABRB2/GRIA3/KCNJ10/GRIA1/LIN7B",33
"R-HSA-71387","Metabolism of carbohydrates","35/743","295/10616",0.00143874537773808,0.0349677680937212,0.031869691662482,"PFKP/LUM/DSEL/HK2/PAPSS2/HS3ST1/CSPG5/GPC3/FUT11/GPC4/NCAN/SLC2A1/ALDOC/HMMR/PFKFB3/HS3ST4/CSGALNACT1/DSE/CRYL1/CHST1/B3GALT4/PGM1/PGM2L1/CHST9/BGN/GPC1/SLC25A12/XYLT1/B3GALT2/SDC1/SDC2/MAN2B2/B4GALT6/SORD/EXT1",35
"R-HSA-2219528","PI3K/AKT Signaling in Cancer","16/743","101/10616",0.00165114995382712,0.0392762903910367,0.0357964872408658,"FGFR2/FGF8/KITLG/ERBB4/PIK3AP1/PTEN/MET/CDKN1A/IRS1/KIT/TGFA/PDGFA/CDKN1B/ERBB3/BTC/PDGFRA",16
"R-HSA-9013695","NOTCH4 Intracellular Domain Regulates Transcription","6/743","20/10616",0.00190722173441233,0.0439573212308983,0.0400627878274264,"HEY1/HEY2/MAML2/NOTCH2/KAT2B/HES1",6
"R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer","13/743","75/10616",0.00192657311298213,0.0439573212308983,0.0400627878274264,"FGFR2/FGF8/KITLG/ERBB4/PIK3AP1/MET/IRS1/KIT/TGFA/PDGFA/ERBB3/BTC/PDGFRA",13
"R-HSA-419037","NCAM1 interactions","9/743","42/10616",0.00210545283874038,0.0470779254742349,0.0429069125873829,"CNTN2/COL5A2/NCAN/COL4A2/COL2A1/GFRA1/COL4A5/COL4A1/COL5A1",9
