"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-3000178","ECM proteoglycans","38/2496","76/10616",4.25617045219164e-07,5.35890552389584e-05,4.65938660029401e-05,"COL2A1/COL5A2/LUM/COL4A6/HAPLN1/COL5A1/FN1/TGFB2/COL4A2/TNC/NCAN/COL1A2/NCAM1/ITGAV/COL4A1/ITGB5/SPARC/LRP4/SERPINE1/COL4A5/ITGA2/COL9A1/LAMC1/BGN/MATN3/COL1A1/ITGB1/COL3A1/COL9A2/LAMA1/COL9A3/HSPG2/LAMB1/TGFB1/FMOD/ITGA8/LAMA5/ITGA9",38
"R-HSA-1638091","Heparan sulfate/heparin (HS-GAG) metabolism","30/2496","55/10616",6.39705594709266e-07,7.38326873893612e-05,6.41950175743334e-05,"EXT1/NCAN/GPC6/HGSNAT/HS6ST2/SDC1/XYLT1/HS3ST1/HS2ST1/IDS/GPC1/CSPG5/SDC2/BGN/HS3ST3A1/GPC4/B3GALT6/NDST4/SDC3/HSPG2/HS3ST3B1/GPC3/HPSE2/GPC2/HS6ST3/B3GAT1/HS3ST2/SLC35D2/HS3ST4/GLCE",30
"R-HSA-1474228","Degradation of the extracellular matrix","59/2496","140/10616",7.07457504409357e-07,7.53714341236123e-05,6.55329056716036e-05,"COL2A1/COL11A1/COL8A1/COL5A2/FBN2/COL4A6/COL5A1/SCUBE3/FN1/CAPN6/COL4A2/COL12A1/ADAMTS9/FBN1/COL1A2/CAPN2/SPP1/COL4A1/ADAMTS1/CDH1/TIMP2/COL7A1/MMP2/COL13A1/COL4A5/ADAMTS18/COL9A1/ADAMTS5/CAST/CD44/LAMC1/CTSV/MMP24/ADAM9/MMP7/NID1/COL1A1/A2M/COL3A1/MMP16/CTSK/ADAM17/COL9A2/COL15A1/COL9A3/COL26A1/PSEN1/PHYKPL/HSPG2/LAMB1/COL25A1/CASP3/TLL2/COL18A1/MMP9/MMP14/ADAMTS8/LAMA5/COL16A1",59
"R-HSA-1566948","Elastic fibre formation","26/2496","45/10616",8.04820212267856e-07,7.96197138564986e-05,6.92266408146186e-05,"FBN2/FN1/TGFB2/FBN1/ITGAV/LTBP1/EFEMP1/ITGB5/LOX/MFAP5/FBLN1/BMP7/ITGB8/LOXL1/LTBP2/LOXL2/EFEMP2/LOXL3/ITGB1/LOXL4/EMILIN3/TGFB1/ITGA5/ITGA8/FBLN2/EMILIN2",26
"R-HSA-6794362","Protein-protein interactions at synapses","41/2496","87/10616",1.1291739983641e-06,0.000104260399182285,9.06508809914757e-05,"APBA2/NLGN1/GRIA1/SHANK2/EPB41L5/BEGAIN/NRXN1/HOMER3/SYT1/LIN7A/NRXN3/NRXN2/PTPRD/CASK/LRRTM4/SLITRK6/HOMER2/SIPA1L1/SLITRK5/PPFIA4/GRIA3/DLGAP4/SHANK3/STXBP1/DLG2/IL1RAPL1/SLITRK4/GRIN2A/SYT9/LRFN3/EPB41L3/EPB41L1/LIN7B/NTRK3/PPFIA2/EPB41L2/SYT12/PPFIBP2/SLITRK1/APBA1/DLG4",41
"R-HSA-8948216","Collagen chain trimerization","25/2496","44/10616",2.00949427459162e-06,0.000173946848144337,0.000151240884877159,"COL2A1/COL11A1/COL8A1/COL5A2/COL4A6/COL5A1/COL4A2/COL12A1/COL1A2/COL4A1/COL7A1/COL13A1/COL4A5/COL9A1/COL1A1/COL22A1/COL3A1/COL9A2/COL15A1/COL9A3/COL26A1/COL25A1/COL18A1/COL16A1/COL27A1",25
"R-HSA-3000170","Syndecan interactions","18/2496","27/10616",2.28127110583273e-06,0.000185856498916373,0.00016159592229552,"COL5A2/COL5A1/FN1/TNC/COL1A2/ITGAV/ITGB5/SDC1/ITGA2/THBS1/SDC2/COL1A1/ITGB1/COL3A1/CASK/PRKCA/SDC3/TGFB1",18
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","31/2496","61/10616",3.14050095849387e-06,0.000241644101528556,0.000210101350673508,"COL2A1/COL11A1/COL8A1/COL5A2/COL4A6/COL5A1/COL4A2/COL12A1/COL1A2/COL4A1/LOX/COL7A1/COL4A5/LOXL1/LOXL2/COL9A1/CTSV/LOXL3/MMP7/COL1A1/COL3A1/COL9A2/LOXL4/COL15A1/COL9A3/PCOLCE/TLL2/COL18A1/MMP9/DST/COL27A1",31
"R-HSA-112315","Transmission across Chemical Synapses","95/2496","272/10616",1.09492098742639e-05,0.000750765055382281,0.000652764752694151,"NCALD/GNG11/GABRB3/GNG2/SLC1A2/GLRB/RPS6KA2/PRKCB/RPS6KA3/GRIA1/ERBB4/PRKAA2/GNG4/ALDH5A1/CAMK2D/SLC1A3/PRKX/ADCY6/GRIP1/ADCY2/CHRNA3/PPM1E/SYT1/LIN7A/SNAP25/TUBA1A/CACNA2D3/GNG12/BCHE/NRG1/CAMK4/SLC1A1/COMT/ABAT/SLC1A6/CASK/TUBB6/GNG8/ARHGEF7/TUBB3/PRKCA/KCNJ2/CACNB3/GRIA2/ARHGEF9/GNB1/PPFIA4/TSPOAP1/GABRB2/KCNJ4/ARL6IP5/RIMS1/GRIA3/CACNA1B/CREB1/PLCB1/GABBR1/GNAI1/GABRA3/MAOA/GABRG2/CHRNA9/STXBP1/DLG2/GRIK3/PRKAR1A/GAD1/SLC38A1/TUBB4A/TUBB2A/GABRG3/GABBR2/CACNG4/GRIN2A/CACNB2/TUBB4B/TUBB2B/GNAL/GNB5/EPB41L1/LIN7B/PPFIA2/MAPT/PRKAA1/TSPAN7/RAB3A/GRIK1/PRKACB/SYN1/GAD2/GLS/CAMK2B/APBA1/DLG4/SLC6A1",95
"R-HSA-1442490","Collagen degradation","31/2496","64/10616",1.12241644267268e-05,0.000750765055382281,0.000652764752694151,"COL2A1/COL11A1/COL8A1/COL5A2/COL4A6/COL5A1/COL4A2/COL12A1/COL1A2/COL4A1/COL7A1/MMP2/COL13A1/COL4A5/COL9A1/ADAM9/MMP7/COL1A1/COL3A1/CTSK/ADAM17/COL9A2/COL15A1/COL9A3/COL26A1/PHYKPL/COL25A1/COL18A1/MMP9/MMP14/COL16A1",31
"R-HSA-1793185","Chondroitin sulfate/dermatan sulfate metabolism","26/2496","50/10616",1.13834412729443e-05,0.000750765055382281,0.000652764752694151,"NCAN/GPC6/SDC1/XYLT1/IDS/GPC1/CSPG5/DSEL/SDC2/BGN/CHST9/CHST11/GPC4/CHST3/B3GALT6/SDC3/CHSY3/CSGALNACT2/HSPG2/GPC3/GPC2/B3GAT1/CHST13/CSGALNACT1/DSE/HEXB",26
"R-HSA-6794361","Neurexins and neuroligins","28/2496","56/10616",1.39262416421216e-05,0.00087672021246993,0.000762278489884552,"APBA2/NLGN1/SHANK2/EPB41L5/BEGAIN/NRXN1/HOMER3/SYT1/LIN7A/NRXN3/NRXN2/CASK/LRRTM4/HOMER2/SIPA1L1/DLGAP4/SHANK3/STXBP1/DLG2/GRIN2A/SYT9/EPB41L3/EPB41L1/LIN7B/EPB41L2/SYT12/APBA1/DLG4",28
"R-HSA-2243919","Crosslinking of collagen fibrils","13/2496","18/10616",1.65344835187459e-05,0.000961660912941486,0.000836131548094288,"COL4A6/COL4A2/COL1A2/COL4A1/LOX/COL4A5/LOXL1/LOXL2/LOXL3/COL1A1/LOXL4/PCOLCE/TLL2",13
"R-HSA-373755","Semaphorin interactions","31/2496","65/10616",1.66641602242568e-05,0.000961660912941486,0.000836131548094288,"DPYSL4/SEMA5A/RHOB/DPYSL3/PAK2/FYN/PAK3/TLN1/PLXNA1/SEMA6A/ROCK2/PLXNC1/DPYSL5/GSK3B/ITGB1/SEMA6D/PLXNA2/PLXND1/NRP1/MYH9/CRMP1/MYL9/RRAS/SEMA3A/CDK5R1/PLXNA3/DPYSL2/MET/ARHGEF12/PLXNA4/SEMA4D",31
"R-HSA-191273","Cholesterol biosynthesis","16/2496","25/10616",1.84874381151828e-05,0.00102420407158113,0.000890510703316595,"HMGCS1/IDI1/ACAT2/FDPS/SQLE/HMGCR/HSD17B7/MSMO1/FDFT1/LBR/MVK/DHCR7/MVD/GGPS1/NSDHL/LSS",16
"R-HSA-1963642","PI3K events in ERBB2 signaling","12/2496","16/10616",1.92561885260105e-05,0.00102576235032786,0.000891865573836274,"HBEGF/ERBB3/ERBB4/PIK3R1/GRB2/NRG1/EGF/EGFR/GAB1/BTC/PIK3CA/NRG3",12
"R-HSA-3560782","Diseases associated with glycosaminoglycan metabolism","22/2496","41/10616",2.82713971660561e-05,0.00139842446696384,0.0012158826450364,"LUM/EXT1/NCAN/GPC6/PAPSS2/SDC1/GPC1/CSPG5/SDC2/BGN/GPC4/CHST3/ST3GAL3/B3GALT6/SDC3/CHST6/HSPG2/GPC3/GPC2/FMOD/B4GALT1/HEXB",22
"R-HSA-8853659","RET signaling","22/2496","41/10616",2.82713971660561e-05,0.00139842446696384,0.0012158826450364,"DOK6/SHC3/PIK3R3/PIK3R1/PDLIM7/GFRA1/GRB2/GRB10/RET/GAB2/DOK5/GFRA2/GAB1/PRKCA/SHANK3/FRS2/PIK3CA/SHC1/PIK3CB/NRTN/SOS1/PRKACB",22
"R-HSA-166520","Signaling by NTRKs","42/2496","101/10616",4.00355591039678e-05,0.00191204308134467,0.00166245661034262,"DUSP4/RPS6KA2/PCSK5/MEF2C/SHC3/RPS6KA3/PIK3R1/FYN/RALGDS/SH3GL2/ADCYAP1R1/TIAM1/DUSP6/RALB/GRB2/MAPK13/RAP1A/MAPK11/ADCYAP1/IRS1/KIDINS220/GAB1/SHC2/CDK5R1/PTPRO/RIT1/CREB1/MAPK12/FRS2/NTRK2/PIK3CA/SHC1/DUSP3/DNAL4/DOCK3/PIK3CB/VRK3/NTRK3/PPP2R1B/SOS1/BDNF/DNM3",42
"R-HSA-9009391","Extra-nuclear estrogen signaling","34/2496","77/10616",5.001439439084e-05,0.00229673387824229,0.00199693221106531,"GNG11/CAV2/GNG2/HBEGF/AKT3/CAV1/SPHK1/PIK3R3/PIK3R1/GNG4/MMP2/S1PR3/FOXO3/MMP7/BCL2/GNG12/EGF/FOS/XPO1/GNG8/EGFR/BTC/AKT1/GNB1/ZDHHC21/CREB1/GNAI1/CDKN1B/PIK3CA/SHC1/MMP9/GNB5/SRF/CCND1",34
"R-HSA-9617828","FOXO-mediated transcription of cell cycle genes","12/2496","17/10616",5.14070398740151e-05,0.00229673387824229,0.00199693221106531,"FOXG1/PCBP4/SMAD3/CAV1/CCNG2/GADD45A/CDKN1A/FOXO1/FOXO3/BTG1/KLF4/CDKN1B",12
"R-HSA-112310","Neurotransmitter release cycle","25/2496","51/10616",6.09547809351156e-05,0.00263819911234797,0.00229382465097935,"SLC1A2/ALDH5A1/SLC1A3/SYT1/LIN7A/SNAP25/SLC1A1/ABAT/SLC1A6/CASK/PPFIA4/TSPOAP1/ARL6IP5/RIMS1/MAOA/STXBP1/GAD1/LIN7B/PPFIA2/RAB3A/SYN1/GAD2/GLS/APBA1/SLC6A1",25
"R-HSA-76002","Platelet activation, signaling and aggregation","89/2496","262/10616",6.68274656668277e-05,0.00280472848328959,0.00243861629100003,"RASGRP1/RARRES2/GNG11/FN1/TGFB2/ADRA2A/GNG2/PROS1/TIMP3/SCG3/COL1A2/RHOB/PDPN/ABCC4/SPARC/TAGLN2/PRKCB/MMRN1/PIK3R3/RAB27B/CALU/PIK3R1/GNG4/FYN/PDGFA/SERPINE1/SELENOP/CD9/TLN1/THBS1/HABP4/MAGED2/CDC42/F2R/VEGFA/COL1A1/A2M/PRKCQ/GRB2/GNG12/APOOL/ARRB1/VEGFC/EGF/OLA1/F2RL2/PRKCE/RAP1A/ITPR3/NHLRC2/WDR1/GNG8/HSPA5/DGKD/TMX3/PRKCA/LAMP2/ENDOD1/ABHD6/CSK/SCCPDH/GAS6/LYN/AKT1/VAV3/GNB1/PLCG2/PCDH7/GNAI1/PIK3CA/GNA13/FAM49B/SYTL4/TGFB1/SHC1/CDC37L1/TRPC3/DGKE/PIK3CB/ECM1/PHACTR2/PDGFB/ACTN4/GNB5/ITPR1/SOS1/APLP2/FLNA/ITPR2",89
"R-HSA-4420332","Defective B3GALT6 causes EDSP2 and SEMDJL1","13/2496","20/10616",9.20164572801464e-05,0.0037011618661248,0.00321803471392497,"NCAN/GPC6/SDC1/GPC1/CSPG5/SDC2/BGN/GPC4/B3GALT6/SDC3/HSPG2/GPC3/GPC2",13
"R-HSA-2129379","Molecules associated with elastic fibres","20/2496","38/10616",9.35311662919625e-05,0.0037011618661248,0.00321803471392497,"FBN2/FN1/TGFB2/FBN1/ITGAV/LTBP1/EFEMP1/ITGB5/MFAP5/FBLN1/BMP7/ITGB8/LTBP2/EFEMP2/ITGB1/EMILIN3/TGFB1/ITGA8/FBLN2/EMILIN2",20
"R-HSA-1236394","Signaling by ERBB4","27/2496","58/10616",9.75623214187638e-05,0.00375343931013855,0.00326348817845222,"CXCL12/GABRB3/HBEGF/SPARC/APOE/ERBB3/ERBB4/PIK3R1/WWOX/GRB2/NRG1/EGF/ADAM17/NEDD4/EGFR/BTC/PSEN1/GABRB2/PIK3CA/GABRG2/SHC1/STMN1/GABRG3/APH1B/NRG3/SOS1/DLG4",27
"R-HSA-8875878","MET promotes cell motility","21/2496","41/10616",0.000105113368208224,0.00393464905319974,0.0034210439041311,"COL2A1/COL11A1/COL5A2/COL5A1/FN1/COL1A2/ITGA2/LAMC1/DOCK7/COL1A1/GRB2/ITGB1/COL3A1/RAP1A/TNS3/LAMA1/GAB1/LAMB1/MET/LAMA5/COL27A1",21
"R-HSA-373752","Netrin-1 signaling","24/2496","50/10616",0.000129804318446328,0.00473102581705696,0.00411346649037672,"SLIT2/FYN/NTN4/CDC42/EZR/PRKCQ/DCC/PITPNA/MAPK13/SLIT1/MAPK11/NEO1/UNC5C/NTN1/RGMA/SIAH2/RGMB/MAPK12/TRPC3/SIAH1/TRPC4/MAPK8/ABLIM1/MYO10",24
"R-HSA-1500931","Cell-Cell communication","49/2496","129/10616",0.000151648580276929,0.00538546881239864,0.00468248247872624,"CDH2/CD47/CDH3/CDH6/PARVA/CADM1/F11R/CADM2/CLDN7/CDH11/CDH10/KIRREL1/PIK3R1/CDH1/FYN/CLDN1/PARD6G/PARD3/SDK2/KIRREL2/SDK1/CD2AP/FBLIM1/CLDN6/GRB2/MPP5/MAGI2/ITGB1/FLNC/AFDN/CASK/CDH4/CDH12/PARVB/CLDN10/SKAP2/IQGAP1/PIK3CA/CDH7/SPTAN1/PIK3CB/CDH8/ACTN4/DST/CDH13/CADM3/CLDN11/FLNA/CLDN4",49
"R-HSA-3781865","Diseases of glycosylation","53/2496","143/10616",0.000174117494024295,0.00602881823059122,0.00524185297799457,"LUM/EXT1/SPON1/ADAMTS9/SEMA5A/NCAN/GPC6/PAPSS2/GNE/NOTCH1/ADAMTS1/B3GLCT/ALG9/SDC1/ADAMTS15/ADAMTS18/GPC1/THBS1/ADAMTS5/LFNG/CSPG5/NOTCH2/SDC2/ADAMTS19/BGN/GALNT3/PGM1/GALNT12/ADAMTS6/GPC4/ADAMTS12/CHST3/ST3GAL3/B3GALT6/POMT2/SDC3/B4GAT1/GALE/SEMA5B/CHST6/HSPG2/GPC3/GPC2/FMOD/C1GALT1/MUC15/B4GALT1/THSD7A/ADAMTS2/ADAMTS8/THSD4/HEXB/SRD5A3",53
"R-HSA-1971475","A tetrasaccharide linker sequence is required for GAG synthesis","15/2496","26/10616",0.000185089936044423,0.00617373358572545,0.00536785196433207,"NCAN/GPC6/SDC1/XYLT1/GPC1/CSPG5/SDC2/BGN/GPC4/B3GALT6/SDC3/HSPG2/GPC3/GPC2/B3GAT1",15
"R-HSA-5620924","Intraflagellar transport","25/2496","54/10616",0.000195288311256783,0.00617373358572545,0.00536785196433207,"IFT81/IFT88/TCTEX1D2/KIFAP3/IFT57/TUBA1A/HSPB11/DYNLRB2/TUBB6/TTC26/IFT22/DYNC2LI1/TCTEX1D1/TUBB3/WDR19/IFT43/IFT140/KIF3A/KIF3C/IFT27/TUBB4A/TUBB2A/CLUAP1/TUBB4B/TUBB2B",25
"R-HSA-3656237","Defective EXT2 causes exostoses 2","10/2496","14/10616",0.000196133052542902,0.00617373358572545,0.00536785196433207,"EXT1/GPC6/SDC1/GPC1/SDC2/GPC4/SDC3/HSPG2/GPC3/GPC2",10
"R-HSA-3656253","Defective EXT1 causes exostoses 1, TRPS2 and CHDS","10/2496","14/10616",0.000196133052542902,0.00617373358572545,0.00536785196433207,"EXT1/GPC6/SDC1/GPC1/SDC2/GPC4/SDC3/HSPG2/GPC3/GPC2",10
"R-HSA-2219528","PI3K/AKT Signaling in Cancer","40/2496","101/10616",0.000214973760747535,0.0066164146363408,0.00575274812386386,"FGF8/HBEGF/AKT3/KITLG/FGFR2/FGF18/ERBB3/PIK3R3/ERBB4/FGF9/PIK3R1/CDKN1A/FYN/PDGFA/FOXO1/FOXO3/GRB2/GSK3B/NRG1/EGF/IRS1/EGFR/GAB1/PIK3AP1/BTC/AKT1/KIT/CREB1/FRS2/PTEN/CDKN1B/BAD/PDGFRB/PIK3CA/PDGFRA/MET/PIK3CB/FGF19/PDGFB/NRG3",40
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","42/2496","108/10616",0.000242107525674846,0.00719563188392089,0.00625635787589245,"ANXA1/ZEB1/VCAM1/FN1/COL1A2/RHOU/NANOG/S1PR1/CCL2/IL13RA1/NDN/PIK3R1/CDKN1A/PTGS2/MMP2/FOXO1/FOXO3/VEGFA/BCL2/VIM/FSCN1/ITGB1/TWIST1/JUNB/FOS/SOCS3/NOS2/ICAM1/AKT1/STAT6/MAOA/TGFB1/MMP9/JAK3/JAK2/LAMA5/GATA3/IL1A/IL4R/CCND1/CEBPD/POU2F1",42
